site-4997|El Baúl belongs to the Cotzumalhuapa archaeological landscape together with Bilbao and El Castillo. Raised roads connected its monumental groups, including a route across the Santiago River gorge. Obsidian workshop debris provides evidence of specialised stone-tool production, while volcanic deposits record the influence of nearby Fuego. Its inclusion in this atlas reflects the broader Mesoamerican survey area; cultural identity should not be inferred simply from the map's Maya title.
site-4938|Chunchucmil was a densely occupied city in western Yucatán whose remains differ from centres dominated by royal stelae. Its residential organisation and relative scarcity of dynastic monuments have encouraged interpretations emphasising commerce and multiple powerful lineages. Located between the Gulf Coast and inland settlements, it was well placed for exchange. Survey of households and routes is especially important here, where urban significance is less obvious from monumental sculpture alone.
site-0869|Ixkún was a kingdom in the upper Mopan region, with a large ceremonial centre and many unrestored structures. Its exceptionally tall Stela 1 is a major surviving monument of southern Petén. The settlement occupied a route linking the Dolores valley with the Mopan drainage and nearby cities. Although its principal activity belongs to the Late Classic, archaeological evidence indicates a longer occupation extending into the Postclassic.
site-0903|Naachtún lies between the major political centres of Tikal and Calakmul in northern Petén. Unlike several nearby Preclassic centres, it continued to develop into the Classic period. Changes in its residential groups and monumental construction record shifting relationships with those larger kingdoms. Its location makes the site particularly useful for examining how a substantial local court navigated the competing networks of the central Maya lowlands.
site-0881|Naranjo was the seat of the Sa'aal dynasty in eastern Petén and reached its greatest prominence during the Late Classic. Its centre contains triadic groups, palace compounds, ballcourts and a hieroglyphic stairway. Painted ceramics and carved monuments preserve a distinctive courtly record. The kingdom participated in alliances and wars involving Caracol, Calakmul and neighbouring cities. This history belongs to the Petén record, rather than the other places named Naranjo in the source inventory.
site-0259|El Perú, known anciently as Waka', occupied a strategic position near the San Pedro River west of Tikal. Its court shifted from connections with Tikal toward an alliance with Calakmul. A royal marriage involving Lady T'abi, illustrates the importance of dynastic ties in this political network. Archaeological work on monuments and royal burials has helped recover the history behind the site's modern survey name.
site-4994|Q'umarkaj, also called Utatlán or Gumarcaj, was the Late Postclassic capital of the K'iche' kingdom. Temples dedicated to important patron deities, palaces and a ballcourt were arranged around its main plaza. Written accounts complement the archaeology of this powerful highland centre at the time of Spanish invasion. Stone removal has greatly altered the surviving buildings, so the low remains do not convey the original scale of its political and ceremonial architecture.
site-2190|Acanceh preserves major Maya monuments within a modern town southeast of Mérida. Large masks survive on an earlier stage of its pyramid, while the Palace of the Stuccos carries elaborate architectural decoration. These buildings are part of a much larger ancient settlement beneath the present streets. Their sculptural detail and evidence of connections beyond the northern lowlands make Acanceh an important example of continuity and transformation in an inhabited archaeological landscape.
site-3546|Acanmul is an archaeological settlement northeast of the modern city of Campeche. The external reference confirms the site's identity and regional location, but provides little substantive historical detail. Its MayaMap record preserves a survey position and bibliographic reference that remain useful for further investigation. A specific chronology, ruler sequence or architectural interpretation is not assigned here without a more detailed source.
site-0275|Altar de Sacrificios occupies a strategically important setting near the meeting of the Pasión and Salinas rivers, where they form the Usumacinta. Ceremonial buildings stand on higher ground, with residential areas extending across the surrounding island-like terrain. Excavation documents a long occupation beginning in the Preclassic. The modern name arose from an early interpretation of a monument and should not be read as the ancient name of the city.
site-3354|Arroyo de Piedra was an established Classic centre before the foundation of nearby Dos Pilas. Its architecture and inscriptions connect it closely with Tamarindito, with which it formed an earlier political unit. The rise of Dos Pilas reduced its independent standing. Its subsequent decline belongs to the wider disruption of the Petexbatún region, making the site useful for understanding the histories of communities absorbed by expanding kingdoms.
