site-4949|Chichén Itzá|chichen-itza|Classic · Postclassic|6th–15th centuries CE|A city written in stone|El Castillo · Great Ball Court · El Caracol|https://whc.unesco.org/en/list/483/|Chichén Itzá developed into a major centre of the northern Yucatán, bringing together Maya building traditions and influences from central Mexico. El Castillo dominates a ceremonial landscape that also includes the Great Ball Court, the Temple of the Warriors and the rounded building known as El Caracol. These monuments show how architecture, sculpture and public space worked together to express religious and political authority. The city's different building groups preserve changes over many centuries, rather than a single moment in Maya history. Its surviving stone reliefs are as revealing as its monumental skyline.
site-0893|Tikal|tikal|Preclassic · Classic|6th century BCE–10th century CE|Above the forest canopy|Great Plaza · Temple I · North Acropolis|https://whc.unesco.org/en/list/64/|Tikal grew from an early settlement into one of the most influential cities of the Maya lowlands. Steep temple pyramids frame the Great Plaza, while the North Acropolis preserves successive generations of ceremonial construction and royal burials. Beyond the monumental centre, residential groups, causeways and reservoirs reveal a much larger urban landscape. The city's rulers participated in far-reaching alliances and conflicts, especially its long rivalry with Calakmul. Today the forest surrounds its surviving buildings, but the archaeological remains record an intensely managed landscape of households, water storage and political power.
site-1235|Palenque|palenque|Classic|Peak: 6th–8th centuries CE|Stone, water and memory|Temple of the Inscriptions · Palace · Cross Group|https://whc.unesco.org/en/list/411/|Palenque stands where the Chiapas foothills meet the lowlands. Its architecture combines carefully proportioned rooms, elaborate roof combs and sculpted panels with a landscape threaded by streams. The Temple of the Inscriptions contains the tomb of K'inich Janaab' Pakal, linking a ruler's burial with a monumental written account. Nearby, the Palace and the temples of the Cross Group preserve remarkable reliefs and inscriptions. Together these works make the city especially valuable for understanding Maya royal history, religious imagery and the close relationship between carved texts and the buildings that carried them.
site-4936|Uxmal|uxmal|Late · Terminal Classic|Peak: 9th–10th centuries CE|The geometry of the Puuc|Pyramid of the Magician · Nunnery · Governor's Palace|https://whc.unesco.org/en/list/791/|Uxmal is a major expression of Puuc architecture, a regional tradition distinguished by smooth lower walls and richly patterned upper façades. Stone mosaics, geometric bands and long-nosed masks cover buildings arranged across the area's low hills. The unusual rounded base of the Pyramid of the Magician contrasts with the long horizontal lines of the Governor's Palace and the enclosed spaces of the Nunnery Quadrangle. Its principal monuments belong to the later Classic centuries. Their placement and decoration show that the city's builders considered the whole ceremonial landscape, as well as the details of each façade.
site-4932|Copán|copan|Classic|Royal dynasty: 5th–9th centuries CE|A dynasty carved in stone|Sculpted stelae · Acropolis · Hieroglyphic Stairway|https://whc.unesco.org/en/list/129/|Copán flourished in a fertile valley near the southeastern edge of the Maya world. Its sculptors gave rulers remarkably three-dimensional form on stelae, surrounding their bodies with elaborate costumes and symbolic imagery. The Acropolis grew through repeated construction, preserving earlier buildings beneath later ones. The Hieroglyphic Stairway records an extensive dynastic narrative, while plazas, altars and ballcourt monuments connect royal history with public ceremony. Copán is especially distinctive for the density and quality of its sculpture: individual carved surfaces reward as much attention as the larger arrangement of temples and palaces.
site-3569|Tulum|tulum|Postclassic|Most visible buildings: 1250–1550 CE|Where the city meets the sea|El Castillo · Temple of the Frescoes · Coastal shrines|https://lugares.inah.gob.mx/es/node/4361|Tulum occupies a limestone cliff above the Caribbean, within a compact settlement enclosed by walls on its landward sides. Most surviving buildings belong to the Late Postclassic, when coastal exchange connected communities around the Yucatán Peninsula. El Castillo, the Temple of the Frescoes and smaller shrines illustrate the region's comparatively low, compact temple architecture. Earlier finds indicate a longer history than the standing buildings alone suggest. Its position beside the sea is central to understanding the site: this was part of an inhabited trading coast, with religious buildings and routes linking it to inland Maya centres.
site-1224|Calakmul|calakmul|Preclassic · Classic|Major power during the Classic period|The heart of the Snake kingdom|Structure II · Monumental plazas · Carved stelae|https://en.wikipedia.org/wiki/Calakmul|Calakmul was a powerful city whose rulers built a network of alliances across the Maya lowlands. Its rivalry with Tikal shaped the histories of many smaller kingdoms. Thousands of structures extend beyond its monumental core, showing the scale of the surrounding urban population. Structure II, an enormous pyramid enlarged through successive building phases, contains royal tombs within its accumulated architecture. Stelae and other monuments preserve traces of court life and dynastic ambition. The forest setting can make the ruins seem isolated today, although their history belongs to a densely connected political landscape.
site-2117|Cobá|coba|Classic · Postclassic|Principal construction: 500–900 CE|A city connected by white roads|Nohoch Mul · Sacbeob · Macanxoc stelae|https://en.wikipedia.org/wiki/Coba|Cobá developed beside lakes in the eastern Yucatán and connected its dispersed building groups with raised stone roads called sacbeob. One exceptionally long causeway reaches west to Yaxuná, over 100 kilometres away. The Nohoch Mul group contains the city's best-known tall pyramid, while carved stelae record rulers and ceremonies. Much of the monumental construction belongs to the middle and later Classic centuries, but repair and building continued into the Postclassic. The roads are essential to reading Cobá: they reveal a city organised through movement between widely separated plazas, neighbourhoods and allied places.
site-1209|Ek' Balam|ek-balam|Classic|Peak: late 8th–9th centuries CE|A royal tomb behind sculpted jaws|Acropolis · Ukit Kan Lek Tok' tomb · Ballcourt|https://lugares.inah.gob.mx/es/node/4401|Ek' Balam became the seat of a powerful northern Maya court during the Late Classic. Its Acropolis combines palatial rooms and funerary spaces, including the richly decorated tomb of the ruler Ukit Kan Lek Tok'. Preserved stucco turns a doorway into a monumental open mouth, surrounded by finely modelled figures. Walls, raised roads, a ballcourt and carved monuments place this extraordinary decoration within a larger urban plan. The site is particularly revealing for the craftsmanship supported by the ruling elite, from architecture and sculpture to painted surfaces and luxurious objects made for courtly use.
site-1193|Kohunlich|kohunlich|Classic|Temple masks: Early Classic|Faces with traces of red|Temple of the Masks · Residential complexes|https://lugares.inah.gob.mx/es/node/4346|Kohunlich is distinguished by the large stucco faces that flank the stairway of the Temple of the Masks. Traces of red pigment survive on figures interpreted as royal persons wearing solar attributes. Around this temple, residential, civic and religious buildings spread through the forest, making the site more than a single celebrated monument. Its modern name derives from the English expression Cohoon Ridge, referring to the area's palms. Looking from the sculpted faces to the surrounding architectural groups reveals the relationship between the display of royal authority and the spaces used by the broader community.
site-4945|Dzibanché|dzibanche|Preclassic · Classic|Early centre of the Kaan dynasty|Before the rise of Calakmul|Temple of the Lintels · Owl Temple · Kinichná|https://en.wikipedia.org/wiki/Dzibanche|Dzibanché was an early seat of the Kaan, or Snake, dynasty, whose later history is closely associated with Calakmul. Its extensive settlement includes several monumental groups linked by raised roads, among them the main Dzibanché group and the large Kinichná complex. Palaces, pyramids and royal burials reveal a court with influence beyond southern Quintana Roo. The Temple of the Lintels gives a distinctive focus to the standing architecture. The site's importance lies in both its scale and its place in the changing geography of Maya dynastic power, before and after part of the lineage established itself at Calakmul.
site-1228|Becán|becan|Preclassic · Classic|Occupation began around 550 BCE|A city inside a great ditch|Encircling ditch · Río Bec architecture · Plazas|https://en.wikipedia.org/wiki/Becan|Becán's most unusual feature is the deep ditch surrounding its central precinct, the feature that inspired its modern name. The settlement began in the Middle Preclassic and later developed imposing buildings in the Río Bec architectural tradition. Imported material indicates connections with distant Teotihuacan, while its position near Chicanná and Xpuhil places it within a busy regional network. Construction and population changed considerably over its long history. The combination of a bounded monumental core, large temple structures and surrounding settlement makes Becán a particularly useful place to examine urban organisation and the control of access.
site-1227|Chicanná|chicanna|Late · Terminal Classic|Principal monuments: later Classic period|Through the earth monster's mouth|Structure II doorway · Mask panels · Palace groups|https://lugares.inah.gob.mx/es/node/4384|Chicanná's buildings are celebrated for façades in which architectural doorways become the open jaws of a supernatural being. Structure II is the clearest example, with a carefully composed arrangement of eyes, teeth and other sculpted elements surrounding the entrance. Other mask panels show variations in this regional imagery. The settlement stood close to Becán, and archaeological research places it within that larger city's sphere of interaction. Its surviving palatial architecture suggests an elite community whose builders invested heavily in decoration, making the transition from an outdoor plaza to an interior room a visually charged experience.
site-1223|Xpuhil|xpuhil|Late Classic|Principal monuments: later Classic period|Three towers above the trees|Building of the Three Towers · Río Bec façades|https://lugares.inah.gob.mx/es/node/4364|Xpuhil is one of the most recognisable expressions of Río Bec architecture. Its best-known building has three slender towers rising above a long horizontal façade, a distinctive variation on the paired towers common in the regional style. Temple-like upper forms and steep ornamental stairs emphasise height and silhouette. Earlier architecture beneath later construction also connects the settlement with traditions of the Petén. The atlas preserves the survey name Xpuhil 1 for this record; the highlighted story refers to the principal archaeological group rather than every similarly named group in the surrounding modern town.
site-4948|Edzná|edzna|Classic|Five-Storey Building façade: 9th century CE|Rooms rising through five levels|Five-Storey Building · Great Acropolis · Inscriptions|https://lugares.inah.gob.mx/es/node/4339|Edzná's Great Acropolis is dominated by the Building of the Five Storeys, whose western face contains vaulted rooms on successive levels. A broad stairway leads upward through this unusually inhabited-looking pyramid façade. The structure was rebuilt over time, and reused blocks bearing hieroglyphs preserve names and titles associated with the city's rulers. Research has identified a sequence of governors that includes a woman. The monument's changing architectural forms reveal several phases of design rather than one unified construction, making Edzná a striking place to study how Maya builders transformed and reused earlier structures.
site-4935|Kabah|kabah|Late · Terminal Classic|East Group: about 750–950 CE|Stone masks in repeating rhythm|Codz Poop · Two-storey Palace · East Group|https://lugares.inah.gob.mx/es/node/4423|Kabah's palatial groups occupy raised ground in the Puuc region. The East Group served as a residence for the ruling lineage and a setting for civic and religious activity. Its buildings enclose plazas and contain numerous vaulted rooms, indicating a substantial administrative as well as ceremonial role. The Codz Poop is famous for its repeated sculpted masks, while the nearby two-storey Palace uses a more restrained arrangement of small columns and plain panels. These different treatments make the site a rich study in how Puuc architects varied decoration within a closely related group of buildings.
